,Unnamed: 0,ID,NAZWASEKCJI,WARTOSC,DATA_WPLYWU,WI_KONKURS_ID,TYTUL,SLOWA_KLUCZE,WI_STATUSWNIOSKU_KOD,LEMMATIZED
0,0.0,916.0,opisProjektuEfekt,efekt projektu 1.,06/07/04,1.0,Paweł 1,asddvv,2.0,efekt projekt 1 .
1,1.0,1055.0,opisProjektuEfekt,"w ramach realizacji pracy oczekuje się efektów w postaci:

    
    modeli 	lotniczych środków bojowych stanowiących uzbrojenie 	śmigłowca;
    
    
    funkcjonalnego 	modelu algorytmu celowniczego.
    

ponadto oczekiwane są efekty wymierne w postaci: 

    
     	informatycznego modelu 	(program komputerowy) celowniczego wykorzystanego w systemie sterowania 	uzbrojeniem modernizowanego śmigłowca;
    
    
     	publikacji naukowych;
    
    
     	uczestnictwa w 	konferencjach krajowych i międzynarodowych;
    
    
     	pracy doktorskiej 	wykonawcy projektu.",06/07/25,1.0,Eksperymentalna weryfikacja matematycznego modelu systemu celowniczego śmigłowca,"lotnictwo, mechanika lotu, dynamika środków bojowych, badania w locie",183.0,w rama realizacja praca oczekiwać się efekt w postać : model lotniczy środek bojowy stanowić uzbrojenie śmigłowiec ; funkcjonalny model algorytm celowniczy . ponadto oczekiwany być efekt wymierny w postać : informatyczny model ( program komputerowy ) celowniczy wykorzystać w system sterowanie uzbrojenie modernizować śmigłowiec ; publikacja naukowy ; uczestnictwo w konferencja krajowy i międzynarodowy ; praca doktorski wykonawca projekt .
2,2.0,1076.0,opisProjektuEfekt,"odbiorcami wynikw prac jest wiele firm i przedsiębiorstw z branż: rolniczych, przetwrstwa rolniczego, paliwowych jak i produkcyjnych oraz użytkownicy lotnictwa.
w pierwszej kolejności zainteresowanie już wyrazili producenci spirytusu odwodnionego, gorzelnie oraz rafinerie paliw jako dostawcy komponentw i paliw do tworzenia mieszanin etanolowych. jako odbiorcy paliw zainteresowanie swe wyraziło wojsko i aerokluby głwnie w celach obniżenia kosztw. instytut lotnictwa nawiązał kontakt z właścicielem praw do silnikw franklin, ktry zainteresowany jest przystosowaniem swoich silnikw do zasilania etanolem. jest gotw wspłpracować w ramach projektu celowego nad modernizacją rodziny silnikw franklin. także instytut lotnictwa posiadając samolot ""manager"" i śmiglowiec is-2 jest zainteresowany przedstawieniem alternatywnej oferty na swoje konstrukcje z silnikiem zasilanym bioetanolem. rynek brazylijski od wielu lat stosujący mieszanki spirytusowe do zasilania silnikw trakcyjnych jest zainteresowany rozszerzeniem zastosowań tych paliw na transport powietrzny. na rynku tym brak jest tak nowoczesnych konstrukcji jak is-2 i manager - nie wolno nam zapominać o gwałtownie rozwijającym się rynku i ambicjach brazylii, ktra ma b. dobre kontakty z polską (przykładem może być zakup samolotu embraer).
przewidywany jest udział w konferencjach krajowych oraz reklama medialna.
planujemy wsplnie z aeroklubem polskim w 75 rocznicę lotu skarżyńskiego do brazylii powtrzyć ten przelot na samolocie i-23 ""manager"" zasilanym biopaliwem etanolowym (oczywiście w miarę możliwości i znalezienia sponsorw w kraju i za granica), jednocześnie bijąc rekord długość lotu maxa shaucka przez atlantyk na samolocie ""velocity"".",06/07/20,1.0,Eksperymentalna ocena paliw z bioetanolem do tłokowych silników lotniczych,"biopaliwo, paliwo lotnicze, emisja, cząstki stałe, ekologia, tłokowy silnik lotniczy ",173.0,"odbiorca wynikw praca być wiele firma i przedsiębiorstwo z branża : rolniczy , przetwrstwa rolniczy , paliwowy jak i produkcyjny oraz użytkownik lotnictwo . w pierwsza kolejność zainteresowanie już wyrazić producent spirytus odwodnić , gorzelnia oraz rafineria paliwo jako dostawca komponentw i paliwo do tworzenie mieszanina etanolowych . jako odbiorca paliwo zainteresowanie swój wyrazić wojsko i aeroklub głwnie w cel obniżenie kosztw . instytut lotnictwo nawiązać kontakt z właściciel prawy do silnikw franklin , ktry zainteresowany być przystosowanie swoje silnikw do zasilanie etanol . być gotw wspłpracować w rama projekt celowy nad modernizacja rodzina silnikw franklin . także instytut lotnictwo posiadać samolot &quot; manager &quot; i śmiglowiec IS - 2 być zainteresowany przedstawienie alternatywny oferta na swoje konstrukcja z silnik zasilać bioetanol . rynek brazylijski od wiele lato stosować mieszanka spirytusowy do zasilanie silnikw trakcyjny być zainteresowany rozszerzyć zastosowanie ten paliwo na transport powietrzny . na rynek tym brak być tak nowoczesny konstrukcja jak IS - 2 i manager - nie wolno my zapominać o gwałtownie rozwijać się rynek i ambicja Brazylia , ktra mój bit . dobre kontakt z polski ( przykład może być zakup samolot embraer ) . przewidywać być udział w konferencja krajowy oraz reklama medialny . planować wsplnie z aeroklub polski w 75 rocznica lot Skarżyński do Brazylia powtrzyć ten przelot na samolot i - 23 &quot; manager &quot; zasilać biopaliwo etanolowym ( oczywiście w miara możliwości i znalezienie sponsorw w kraj i za granica ) , jednocześnie bić rekord długość lot maxa shaucka przez Atlantyk na samolot &quot; velocity &quot; ."
3,3.0,1155.0,opisProjektuEfekt,"głwnym planowanym efektem wymiernym proponowanego projektu badawczego było by opracowanie kompendium, ktre w przystępny sposb prezentowało by niespecjalistom z zakresu kryptografii kwantowej wykorzystanie technik kwantowych do bezpiecznego przesyłu i przetwarzania informacji. poza tym planujemy oczywiście publikacje naukowe dotyczące uzyskanych wynikw i upowszechnianie tychże wynikw poprzez udział w konferencjach międzynarodowych.",06/07/24,1.0,Kwantowo-mechaniczne systemy bezpiecznego przepływu informacji,"kryptografia kwantowa, kwantowa korekcja błędów",173.0,"głwnym planować efekt wymierny proponować projekt badawczy być by opracowanie kompendium , ktre w przystępny sposb prezentować by niespecjalista z zakres kryptografia kwantowy wykorzystanie technik kwantowy do bezpieczny przesył i przetwarzanie informacja . poza tym planować oczywiście publikacja naukowy dotyczyć uzyskać wynikw i upowszechniać tenże wynikw poprzez udział w konferencja międzynarodowy ."
4,4.0,1235.0,opisProjektuEfekt,"zwarte opracowania, zawierające sprawozdania z badań, wraz z wnioskami i załącznikami formatu a-4. upowszechnienie wynikw nastąpi podczas konferencji naukowych organizowanych przez sztab generalny wp, dowdztwo wojsk lądowych, akademię obrony narodowej. wyniki przeprowadzonych badań będą sukcesywnie publikowane w czasopismach fachowych. na koniec badań planowane jest wydanie monografii.",06/07/16,1.0,ORGANA DECYZYJNE WOJSK LĄDOWYCH W NOWYCH UWARUNKOWANIACH WSPŁCZESNEGO ŚWIATA,"Dowództwo Wojsk Lądowych, organa dowodzenia, proces doskonalenia organizacji",173.0,"zwarty opracowanie , zawierać sprawozdanie z badanie , wraz z wniosek i załącznik format a - 4 . upowszechnienie wynikw nastąpić podczas konferencja naukowy organizować przez sztab generalny WP , dowdztwo wojsko lądowy , akademia obrona narodowy . wynik przeprowadzić badanie być sukcesywnie publikować w czasopismo fachowy . na koniec badanie planować być wydanie monografia ."
5,5.0,1275.0,opisProjektuEfekt,"wymiernym efektem funkcjonowania stanowiska badawczego fałszywych kart płatniczych powinna być zwiększona liczba połączonych i skoordynowanych działań organw ścigania oraz wskazanie i zatrzymanie źrdeł dostarczających fałszywe karty płatnicze przestępcom. 
opracowana zostanie rozszerzona metodyka badania fałszywych kart płatniczych. efekty prac zostaną rozpowszechnione na konferencjach dotyczących przestępstw kartowych w kraju i za granicą oraz opisane w artykułach publikowanych w periodykach specjalistycznych.
wyniki badań fałszywych kart płatniczych zostaną wykorzystane w pracy operacyjnej policji oraz w pracy dochodzeniowo-śledczej.",06/07/20,1.0,Projekt i wykonanie stanowiska badania fałszywych kart płatniczych,"carding, karta płatnicza, cyberprzestępczość, inforensics",173.0,wymierny efekt funkcjonowanie stanowisko badawczy fałszywy kart płatniczy powinny być zwiększyć liczba połączyć i skoordynować działanie organw ściganie oraz wskazanie i zatrzymanie źrdeł dostarczać fałszywy kart płatniczy przestępca . opracować zostać rozszerzyć metodyk badanie fałszywy kart płatniczy . efekt praca zostać rozpowszechniony na konferencja dotyczyć przestępstwo kartowy w kraj i za granica oraz opisać w artykuł publikować w periodyk specjalistyczny . wynik badanie fałszywy kart płatniczy zostać wykorzystać w praca operacyjny policja oraz w praca dochodzeniowo - śledczy .
6,6.0,1315.0,opisProjektuEfekt,"wyniki projektu będą obejmować:
- dokumentację konstrukcyjnę i modele bezpiecznych urządzeń sieciowych,
- międzynarodowe zgłoszenia patentowe wynalazkw w zakresie konstrukcji bezpiecznych urządzeń sieciowych,
- model bezpiecznej sieci laboratoryjnej intranet i wyniki jej badań,
- dokumentację projektową bezpiecznych sterownikw i komputerw,
- model bezpiecznego sterownika,
- wyniki badań bezpiecznego sterownika w systemie sterowania,
- międzynarodowe zgłoszenia patentowe wynalazkw w zakresie konstrukcji bezpiecznych sterownikw i komputerw.

prace prowadzone w ramach projektu i ich wyniki będą prezentowane na konferencjach i w czasopismach. przewiduje się też zorganizowanie seminarium promocyjnego dla potencjalnych użytkownikw nowych urządzeń i komputerw.
przypuszczalnie bezpieczne urządzenia sieciowe w wersji modelowej lub ewentualnie prototypowej będą w pierwszej kolejności użyte dla budowy eksperymentalnej sieci intranet w instytucji wymagającej wysokiego bezpieczeństwa ilub sieci intranet dla celw sterowania.",06/07/31,1.0,Bezpieczne sieci typu Internet/Intranet oraz bezpieczne komputery i sterowniki do pracy w sieciach tego typu.,"Internet, Intranet, bezpieczeństwo, sieci komputerowe, komputery",173.0,"wynik projekt być obejmować : - dokumentacja konstrukcyjnę i model bezpieczny urządzenie sieciowy , - międzynarodowy zgłoszenie patentowy wynalazkw w zakres konstrukcja bezpieczny urządzenie sieciowy , - model bezpieczny sieć laboratoryjny intranet i wynik on badanie , - dokumentacja projektowy bezpieczny sterownikw i komputerw , - model bezpieczny sterownik , - wynik badanie bezpieczny sterownik w system sterowanie , - międzynarodowy zgłoszenie patentowy wynalazkw w zakres konstrukcja bezpieczny sterownikw i komputerw . praca prowadzony w rama projekt i on wynik być prezentować na konferencja i w czasopismo . przewidywać się też zorganizowanie seminarium promocyjny dla potencjalny użytkownikw nowa urządzenie i komputerw . przypuszczalnie bezpieczny urządzenie sieciowy w wersja modelowy lub ewentualnie prototypowy być w pierwsza kolejność użyty dla budowa eksperymentalny sieć intranet w instytucja wymagająca wysoki bezpieczeństwo ilub sieć intranet dla celw sterowanie ."
7,7.0,1335.0,opisProjektuEfekt,"wynikiem projektu będzie autonomiczny system nawigacji i sterowania oparty na ins w wersjach dla bomb lotniczych i pojazdw lądowych, a w szczeglności:

    opracowany system samonaprowadzania opartego na ins dla bomb lotniczych oraz zintegrowany z nim układ wykonawczy oparty na zestawie impulsowych rakietowych silnikw korekcyjnych uniwersalny dla bomb rżnych wagomiarw.
    wyniki badań symulacyjnych systemu samonaprowadzania bomb lotniczych.
    opracowany i zaaplikowany system autonomicznego sterowania opartego na ins dla pojazdu elektrycznego melex.
    wyniki badań laboratoryjnych i terenowych powyższego układu wraz z opracowaniem algorytmw i praw sterowania oraz ich weryfikacja.
    wymagania sprzętowe stawiane obu powyższym systemom.

wyniki projektu będą rozpropagowane w postaci referatw na konferencjach naukowych, publikacji, a także zostaną wykorzystane jako elementy rozprawy habilitacyjnej kierownika projektu.",06/07/21,1.0,Autonomiczny system sterowania bomb lotniczych,"sterowanie autonomiczne, układy nawigacyjne",183.0,"wynik projekt być autonomiczny system nawigacja i sterowanie oprzeć na ins w wersja dla bomba lotniczy i pojazdw lądowy , a w szczeglności : opracować system samonaprowadzanie oprzeć na ins dla bomba lotniczy oraz zintegrować z nim układ wykonawczy oprzeć na zestaw impulsowy rakietowy silnikw korekcyjny uniwersalny dla bomba rżnych wagomiarw . wynik badanie symulacyjny system samonaprowadzanie bomba lotniczy . opracować i zaaplikować system autonomiczny sterowanie oprzeć na ins dla pojazd elektryczny melex . wynik badanie laboratoryjny i terenowy powyższe układ wraz z opracowanie algorytmw i prawy sterowanie oraz on weryfikacja . wymaganie sprzętowy stawiać oba powyższe system . wynik projekt być rozpropagować w postać referatw na konferencja naukowy , publikacja , a także zostać wykorzystać jako element rozprawa habilitacyjny kierownik projekt ."
8,8.0,1415.0,opisProjektuEfekt,"na projekt składa się kilka powiązanych ze sobą obszarów tematycznych: 1. zagrożenia kleptograficzne i metody przeciwdziałania im, 2. problem zachowania anonimowości w elektronicznym obrocie informacji, 3. ochrona danych i uwierzytelnianie w protokołach sieciowych, 4. teoretyczne aspekty kryptografii i kryptoanalizy. wymierne, udokumentowane efekty podjętych problemów przedstawiamy odrębnie dla poszczególnych tematów poniżej. 
1. uzyskane wyniki zamierzamy przedstawić w formie opracowań, publikacji oraz referatów na konferencjach naukowych o charakterze międzynarodowym z zakresu kryptografii i bezpieczeństwa komputerowego. celem jest przedstawienie algorytmów i procedur postępowania mających za zadanie utrudnienie lub eliminację ataków kleptograficznych. największy nacisk położony zostanie na zaproponowanie rozwiązań dla protokołów wykorzystywanych w elektronicznych przetargach, e-wyborach, czy innych schematach stosowanych na przykład w e-bankowości. 

2. dokumentacją prac nad problemami będą raporty, prezentacje i publikacje na międzynarodowych konferencjach. jako pomocnicze metody upowszechniania uzyskiwanych wyników można także uznać przygotowanie testowych implementacji projektowanych systemów. 

3. jednym z efektów przeprowadzonych badań będzie przedstawienie nowych mechanizmów autoryzacji możliwych do stosowania w protokołach komunikacyjnych uwzględniających czynnik ludzki oraz fakt, że jednostki obliczeniowe uczestniczące w protokole mogą wykonywać wrogi kod. planowana jest publikacja uzyskanych wyników w powszechnie dostępnych wydawnictwach naukowych i stworzenie możliwości ich implementacji. zaproponowane w efekcie badań w tym temacie metody zarządzania kluczami symetrycznymi mogą stać się podstawą dla systemów dostępu do informacji oraz autoryzacji czasowego dostępu do określonych serwisów. metody te mogą w szczególności być stosowane dla podniesienia bezpieczeństwa procedur w kontaktach obywatel-administracja państwowa. 


4. uzyskane wyniki teoretyczne z zakresu struktur losowych i algebraicznych oraz kryptografii kwantowej zamierzamy przedstawić w formie opracowań, publikacji w renomowanych czasopismach oraz referatów na konferencjach naukowych o charakterze międzynarodowym. pozostałe uzyskane wyniki wejdą w skład publikacji związanych z innymi tematami projektu. uzyskane w proponowanym projekcie badawczym wyniki wejdą również w skład przygotowywanych rozpraw doktorskich i habilitacyjnych uczestników.",06/07/27,1.0,Bezpieczeństwo informacyjne e-społeczeństwa,"kryptologia, struktury losowe, kryptografia, kleptografia, anonimowość, uwierzytelnianie",173.0,"na projekt składać się kilka powiązać z siebie obszar tematyczny : 1 . zagrożenie kleptograficzne i metoda przeciwdziałanie im , 2 . problem zachowanie anonimowość w elektroniczny obrót informacja , 3 . ochrona dana i uwierzytelniać w protokół sieciowy , 4 . teoretyczny aspekt kryptografia i kryptoanaliza . wymierny , udokumentować efekt podjąć problem przedstawiać odrębnie dla poszczególny temat poniżej . 1 . uzyskać wynik zamierzać przedstawić w forma opracowanie , publikacja oraz referat na konferencja naukowy o charakter międzynarodowy z zakres kryptografia i bezpieczeństwo komputerowy . cel być przedstawienie algorytm i procedura postępowanie maić za zadanie utrudnienie lub eliminacja atak kleptograficznych . duży nacisk położyć zostać na zaproponować rozwiązanie dla protokół wykorzystywać w elektroniczny przetarg , e - wybory , czy inny schemat stosowany na przykład w e - bankowość . 2 . dokumentacja praca nad problem być raport , prezentacja i publikacja na międzynarodowy konferencja . jako pomocniczy metoda upowszechniać uzyskiwać wynik można także uznać przygotowanie testowy implementacja projektować system . 3 . jeden z efekt przeprowadzić badanie być przedstawienie nowa mechanizm autoryzacja możliwy do stosować w protokół komunikacyjny uwzględniać czynnik ludzki oraz fakt , że jednostka obliczeniowy uczestniczyć w protokół móc wykonywać wróg kod . planować być publikacja uzyskać wynik w powszechnie dostępny wydawnictwo naukowy i stworzenie możliwości on implementacja . zaproponować w efekt badanie w tym temat metoda zarządzanie klucz symetryczny móc stać się podstawa dla system dostęp do informacja oraz autoryzacja czasowy dostęp do określony serwis . metoda te móc w szczególność być stosowany dla podniesienie bezpieczeństwo procedura w kontakt obywatel - administracja państwowy . 4 . uzyskać wynik teoretyczny z zakres struktura losowy i algebraiczny oraz kryptografia kwantowy zamierzać przedstawić w forma opracowanie , publikacja w renomowany czasopismo oraz referat na konferencja naukowy o charakter międzynarodowy . pozostały uzyskać wynik wejść w skład publikacja związać z inny temat projekt . uzyskać w proponować projekt badawczy wynik wejść również w skład przygotowywać rozprawa doktorski i habilitacyjny uczestnik ."
9,9.0,1455.0,opisProjektuEfekt,"w projekcie przewiduje się opracowania do użytku wewnętrznego, poster na kongresie technologii chemicznej, a także 1 - 3 publikacji międzynarodowych. ponadto wyniki projektu stanowić będą solidną podstawę pźniejszego wniosku o projekt celowy, ktrego celem będzie opracowanie baterii rezerwowej zgodnej z oczekiwaniem odbiorcy.",06/07/26,1.0,"Określenie wzajemnej korelacji między materiałem katodowym, separatorem i elektrolitem w długopracującej rezerwowej baterii niskoprądowej Ag2O-Zn do zastosowań wojskowych.","baterie/ogniwa rezerwowe, Zn/Ag2O, separatory",173.0,"w projekt przewidywać się opracowanie do użytek wewnętrzny , poster na kongres technologia chemiczny , a także 1 - 3 publikacja międzynarodowy . ponadto wynik projekt stanowić być solidny podstawa pźniejszego wniosek o projekt celowy , ktrego cel być opracowanie bateria rezerwowy zgodny z oczekiwanie odbiorca ."
