,ID,NAZWASEKCJI,WARTOSC,DATA_WPLYWU,WI_KONKURS_ID,TYTUL,SLOWA_KLUCZE,WI_STATUSWNIOSKU_KOD
0,104074,opisProjektuEfekt,"PROJEKT DOTYCZYŁ BADANIA AKTYWNOŚCI ELEKTRYCZNEJ SYMULOWANYCH KOMPUTEROWO SIECI NEURONOWYCH. ZAPROPONOWANY MODEL NEURONU UŻYWANY W SYMULACJACH (MODEL MCM OPUBLIKOWANY PO RAZ PIERWSZY W 1991 R), JEST BARDZO DOBRY DO TEGO TYPU ZASTOSOWAŃ. MA ON ZREDUKOWANĄ LICZBĘ ZMIENNYCH W PORÓWNANIU DO KLASYCZNEGO MODELU BŁONY AKTYWNEJ HODGKIN-HUXLEY (CO MA ISTOTNY WPŁYW NA SZYBKOŚĆ SYMULACJI) I ZACHOWUJE JEDNOCZEŚNIE ŚCISŁY ZWIĄZEK Z FIZJOLOGIĄ. DO REALIZACJI PROJEKTU OPRACOWANO SYSTEM DO SYMULACJI DUŻYCH WIELOPOPULACYJNYCH SIECI NEURONOWYCH. PRZEZ POJĘCIE POPULACJI NEURONOWEJ NALEŻY ROZUMIEĆ GRUPĘ NEURONÓW OPISANYCH TYMI SAMYMI PARAMETRAMI MODELOWYMI. SYSTEM TEN ZAPROJEKTOWANO POD KĄTEM SPRAWNEGO DOBORU WARTOŚCI PARAMETRÓW MODELOWYCH. POZWOLIŁO TO NA BADANIE RÓŻNYCH SIECI W SZEROKIM ZAKRESIE ZMIENNOŚCI PARAMETRÓW MODELOWYCH I TYM SAMYM PORÓWNANIE WYNIKÓW Z SZERSZĄ KLASĄ DANYCH EKSPERYMENTALNYCH. PRZEBADANO DOKŁADNIE WŁASNOŚCI ZARÓWNO POJEDYNCZEGO NEURONU (OPISANEGO MODELEM MCM), UKŁADÓW SKŁADAJĄCYCH Z SIĘ KILKU NEURONÓW A NASTĘPNIE DUŻYCH SIECI ZAWIERAJĄCYCH KILKASET NEURONÓW. STRUKTURA POŁĄCZEŃ W SIECI, W PRZYPADKU TYCH OSTATNICH UKŁADÓW, MIAŁA CHARAKTER LOSOWY LUB NEURONY BYŁY KAŻDY Z KAŻDYM.",,79,Modelowanie czynności elektrycznej wybranych struktur kory mózgowej w wielopopulacyjnej sieci neuronowej,,183
1,104074,opisProjektuEfekt,"PROJEKT DOTYCZYŁ BADANIA AKTYWNOŚCI ELEKTRYCZNEJ SYMULOWANYCH KOMPUTEROWO SIECI NEURONOWYCH. ZAPROPONOWANY MODEL NEURONU UŻYWANY W SYMULACJACH (MODEL MCM OPUBLIKOWANY PO RAZ PIERWSZY W 1991 R), JEST BARDZO DOBRY DO TEGO TYPU ZASTOSOWAŃ. MA ON ZREDUKOWANĄ LICZBĘ ZMIENNYCH W PORÓWNANIU DO KLASYCZNEGO MODELU BŁONY AKTYWNEJ HODGKIN-HUXLEY (CO MA ISTOTNY WPŁYW NA SZYBKOŚĆ SYMULACJI) I ZACHOWUJE JEDNOCZEŚNIE ŚCISŁY ZWIĄZEK Z FIZJOLOGIĄ. DO REALIZACJI PROJEKTU OPRACOWANO SYSTEM DO SYMULACJI DUŻYCH WIELOPOPULACYJNYCH SIECI NEURONOWYCH. PRZEZ POJĘCIE POPULACJI NEURONOWEJ NALEŻY ROZUMIEĆ GRUPĘ NEURONÓW OPISANYCH TYMI SAMYMI PARAMETRAMI MODELOWYMI. SYSTEM TEN ZAPROJEKTOWANO POD KĄTEM SPRAWNEGO DOBORU WARTOŚCI PARAMETRÓW MODELOWYCH. POZWOLIŁO TO NA BADANIE RÓŻNYCH SIECI W SZEROKIM ZAKRESIE ZMIENNOŚCI PARAMETRÓW MODELOWYCH I TYM SAMYM PORÓWNANIE WYNIKÓW Z SZERSZĄ KLASĄ DANYCH EKSPERYMENTALNYCH. PRZEBADANO DOKŁADNIE WŁASNOŚCI ZARÓWNO POJEDYNCZEGO NEURONU (OPISANEGO MODELEM MCM), UKŁADÓW SKŁADAJĄCYCH Z SIĘ KILKU NEURONÓW A NASTĘPNIE DUŻYCH SIECI ZAWIERAJĄCYCH KILKASET NEURONÓW. STRUKTURA POŁĄCZEŃ W SIECI, W PRZYPADKU TYCH OSTATNICH UKŁADÓW, MIAŁA CHARAKTER LOSOWY LUB NEURONY BYŁY KAŻDY Z KAŻDYM.",,79,Modelowanie czynności elektrycznej wybranych struktur kory mózgowej w wielopopulacyjnej sieci neuronowej,,183
2,104082,opisProjektuEfekt,"OPRACOWANO NOWY NEURO-LIGWISTYCZNY MODEL UMYSŁU (W TYM SCHEMAT POWIĄZAŃ POMIĘDZY PAMIĘCIĄ EPIZODYCZNĄ, SEMANTYCZNĄ I ROBOCZĄ) WYJAŚNIAJĄCY ZJAWISKO MOTYWACJI POZNAWCZEJ I AKWIZYCJI JĘZYKA NATURALNEGO. PRZETWARZANIE INFORMACJI OPISANO W ORYGINALNEJ LOGICE MULTIMODALNEJ, TJ. PRZY UŻYCIU DIADS M-, M+ I M*, OPERUJĄCYCH NA REKORDACH MULTIMODALNYCH (MMR). OPISANO &QUOT;EKRAN NEURONOWY&QUOT; (NS), BĘDĄCY ŚRODOWISKIEM PRZETWARZANIA MMR, GDZIE PODSTAWOWYM NOŚNIKIEM INFORMACJI JEST RAT (RUNNING AGENT), KODUJĄCY DANY MMR ORAZ STRATEGIĘ SWEGO WŁASNEGO ZACHOWANIA W PAMIĘCI. ZWERYFIKOWANO (SYMULACJA NA SUPERKOMPUTERZE CM-5) ORYGINALNY SPOSÓB WNIOSKOWANIA Z WIEDZY ROZMYTEJ (FIZZY-FUZZY CALCULUS). ZDEFINIOWANO MODUŁ PRZETWARZAJĄCY DLA 2-WYMIAROWEGO NS PRZEWIDZIANEGO IMPLEMENTACJI OPTOELEKTRONICZNEJ. OPRACOWANY MODEL JEST PRZYCZYNKIEM DO JEDNOLITEGO SYMBOLICZNO-KONEKSJONISTYCZNEGO PARADYGMATU PRZETWARZANIA INFORMACJI.",,79,Ekran Neuronalny: środowisko interakcji inteligentnych rekordów multimedialnych,,183
3,104085,opisProjektuEfekt,"CELEM PROJEKTU BYŁO OPRACOWANIE MODELU I SKUTECZNEJ METODY INTELIGENTNEGO NADZOROWANIA I KOMPENSOWANIA CIEPLNYCH I STATYCZNYCH PRZEMIESZCZEŃ OBRABIAREK, BAZUJĄCEJ NA PROGNOZOWANIU PRZEMIESZCZEŃ W CZASIE PRACY OBRABIARKI. PRACE BYŁY PROWADZONE W DWÓCH KIERUNKACH. PIERWSZY OBEJMOWAŁ DOSKONALENIE MODELU ZACHOWANIA SIĘ OBRABIARKI W WARUNKACH PRACY, DRUGI NATOMIAST DOTYCZYŁ ROZWOJU PROGNOSTYCZNEGO MODELU JEJ PRZEMIESZCZEŃ. W ZAKRESIE PIERWSZEGO KIERUNKU UDOSKONALONO MODEL SYMULACYJNY OPARTY NA METODZIE ELEMENTÓW SKOŃCZONYCH, A W RAMACH DRUGIEGO POSZUKIWANO ZWIĄZKÓW FUNKCJONALNYCH MIĘDZY WYBRANYMI SYGNAŁAMI A PRZEMIESZCZENIAMI ZESPOŁÓW KONSTRUKCYJNYCH. DO OPRACOWANIA PROGNOSTYCZNEGO MODELU PRZEMIESZCZEŃ WYKORZYSTANO METODĘ ANALIZY OBU MODELI TESTOWANO NA PRZYKŁADZIE FREZARKO-WYTACZARKI I CENTRUM OBRÓBKOWEGO, W OPARCIU O OPRACOWANE MODELE SYMULACYJNE TYCH MASZYN. SZACUJE SIĘ, ŻE NADZOROWANIE PRZEMIESZCZEŃ OBRABIAREK ZWIĘKSZY ICH DOKŁADNOŚĆ O OKOŁO 70-90 % W STOSUNKU DO STANU WYJŚCIOWEGO.",,79,Inteligentny prognostyczny model nadzorowania przemieszczeń obrabiarek,,183
4,104087,opisProjektuEfekt,"CELEM PRACY BYŁ OPIS PROCESU NAGNIATANIA TOCZNEGO WARSTW WIERZCHNICH METALI POPRZEZ ZNALEZIENIE POLA NAPRĘŻEŃ I STOWARZYSZONEGO Z NIM POLA PRĘDKOŚCI W NAGNIATANEJ WARSTWIE, PODOBNIE WZORÓW NA OSZACOWANIE POLA NAPRĘŻEŃ WŁASNYCH W WARSTWIE ORAZ ZBADANIE ZJAWISK MIKROSKOPOWYCH MAJĄCYCH WPŁYW NA PROCES NAGNIATANIA. W RAMACH OPISU UWZGLĘDNIONO EFEKT &QUOT;ZACIERANIA SIĘ&QUOT; WARSTWY SPOWODOWANY NADMIERNĄ PRĘDKOŚCIĄ TOCZENIA LUB ZBYT DUŻĄ LICZBĄ CYKLI ROLKOWANIA. PROWADZI ON DO SPĘKANIA I ZŁUSZCZANIA SIĘ WARSTWY. WPROWADZONO I OPISANO POJĘCIE &QUOT;NATURALNEJ&QUOT; WARSTWY WIERZCHNIEJ O NIŻSZEJ GRANICY PLASTYCZNOŚCI NIŻ GRANICA PLASTYCZNOŚCI RDZENIA ELEMENTU. POJĘCIE TO UMOŻLIWIŁO WYJAŚNIENIE ZJAWISKA ZMNIEJSZANIA SIĘ MODUŁU YOUNGA DLA CIENKICH PRÓBEK. NA PODSTAWIE ZAPROGRAMOWANEGO UPRZEDNIO PRZEZ W. GAMBIN MODELU PLASTYCZNEGO PŁYNIĘCIA POJEDYŃCZYCH KRYSZTAŁÓW ZBADANO TEKSTURY DEFORMACJI DLA NAGNIATANYCH WARSTW METALI. OKAZAŁY SIĘ ONE ODMIENNYMI OD ZNANYCH TEKSTUR WALCOWANIA. POKAZANO WPŁYW WIELOKROTNEGO ROLKOWANIA NA ROZWÓJ TYCH TEKSTUR.",,79,Sprężysto-plastyczna i mikroplastyczna analiza procesu nagniatania warstw wierzchnich metali,,183
5,104088,opisProjektuEfekt,"CELEM PRACY BYŁO OKREŚLENIE WPŁYWU KORELACJI MIĘDZY SKŁADOWYMI STANU NAPRĘŻENIA NA TRWAŁOŚĆ ZMĘCZENIOWĄ W ZAKRESIE DŁUGOTRWAŁEJ WYTRZYMAŁOŚCI ZMĘCZENIOWEJ. AUTORZY WYKORZYSTALI DANE Z LITERATURY ORAZ WYNIKI BADAŃ, PRÓBEK KRZYŻOWYCH WYKONANYCH ZE STALI 19HNAP W LOSOWYM PŁASKIM STANIE NAPRĘŻENIA. PRACA OBEJMUJE SWYM ZAKRESEM: ANALIZĘ WYNIKÓW BADAŃ W ZŁOŻONYCH STANACH NAPRĘŻENIA W WARUNKACH OBCIĄŻEŃ NIEPROPORCJONALNYCH ZAWARTYCH W LITERATURZE; ANALIZĘ DANYCH ZAREJESTROWANYCH NA OBIEKTACH RZECZYWISTYCH; OPRACOWANIE OPROGRAMOWANIA DO DOŚWIADCZEŃ; BADANIA JEDNOOSIOWE POD OBCIĄŻENIAMI CYKLICZNYMI W CELU WYZNACZENIA BAZOWEJ KRZYWEJ WÖHLERA; BADANIA JEDNOOSIOWE POD OBCIĄŻENIAMI LOSOWYMI Z ZEROWĄ WARTOŚCIĄ OCZEKIWANĄ W CELU WYZNACZENIA NAJLEPSZEJ METODY ZLICZANIA CYKLI ORAZ METODY KUMULACJI USZKODZEŃ ZMĘCZENIOWYCH; BADANIA W LOSOWYM PŁASKIM STANIE NAPRĘŻENIA PRÓBEK KRZYŻOWYCH; DYSKUSJA KRYTERIÓW WIELOOSIOWEGO ZMĘCZENIA LOSOWEGO; OBLICZENIE TRWAŁOŚCI ZMĘCZENIOWEJ WEDŁUG WYBRANYCH KRYTERIÓW WIELOOSIOWEGO ZMĘCZENIA LOSOWEGO. (...)",,79,Modele trwałości zmęczeniowej tworzyw konstrukcyjnych przy wieloosiowych obciążeniach nieproporcjonalnych,,183
6,104089,opisProjektuEfekt,"ZREALIZOWANO NASTĘPUJĄCE ZADANIA BADAWCZE: PRZEPROWADZONO ANALIZĘ TEORETYCZNĄ WYMIAROWANIA I TOLEROWANIA WEKTOROWEGO W ODNIESIENIU DO SYSTEMU STOSOWANEGO AKTUALNIE; OKREŚLONO WZAJEMNE POWIĄZANIA MIĘDZY SYSTEMEM TOLEROWANIA GEOMETRYCZNEGO WG ISO 1101, A PROPONOWANYM SYSTEMEM WEKTOROWYM; OPRACOWANO PROCEDURY POMIAROWE NA WSPÓŁRZĘDNOŚCIOWĄ MASZYNĘ POMIAROWĄ W ASPEKCIE WYMIAROWANIA I TOLEROWANIA WEKTOROWEGO WE WSPÓŁPRACY Z INNYM OŚRODKIEM AKADEMICKIM (POLITECHNIKA ŁÓDZKA - FILIA W BIELSKU-BIAŁEJ); PODDANO KRYTYCZNEJ OCENIE SPOSOBY ZAPISU WYMAGAŃ DOKŁADNOŚCI GEOMETRYCZNEJ W SYSTEMIE WYMIAROWANIA I TOLEROWANIA WEKTOROWEGO ZAWARTE W OPRACOWANIACH ISO I ZAPROPONOWANO ICH UZUPEŁNIENIA; ZASTOSOWANO PRAKTYCZNIE ZAPIS WYMIAROWANIA I TOLEROWANIA WEKTOROWEGO DLA KORBOWODU SILNIKA SAMOCHODOWEGO.",,79,Tolerowanie wektorowe w systemach projektowania i zapewnienia jakości,,183
7,104092,opisProjektuEfekt,"PRZEDMIOTEM PRACY JEST NOŚNOŚĆ KRYTYCZNA ŚCISKANYCH PRĘTÓW Z POLIMEROWYCH KOMPOZYTÓW WŁÓKNISTYCH. CELEM PRACY JEST WYZNACZENIE METODY PROGNOZOWANIA WYTRZYMAŁOŚCI KRYTYCZNEJ KOMPOZYTOWYCH PRĘTÓW ŚCISKANYCH. BADANIA DOŚWIADCZALNE PRZEPROWADZONO NA MODELACH PRĘTÓW ŚCISKANYCH O PRZEKROJU KOŁOWYM I PROSTOKĄTNYM, ZBROJONYCH PODŁUŻNIE WŁÓKNEM SZKLANYM. MATRYCA BYŁA ZBUDOWANA Z ŻYWICY EPOKSYDOWEJ ORAZ POLIESTROWEJ. ZJAWISKA TOWARZYSZĄCE WYBOCZENIU MODELI, ZAOBSERWOWANE W TOKU BADAŃ, BYŁY PRZEDMIOTEM ANALIZ TEORETYCZNYCH. OPRACOWANO ZASADY PROGNOZOWANIA WYTRZYMAŁOŚCI KRYTYCZNEJ I GRANICZNEJ TRZECH GRUP MODELI RÓŻNIĄCYCH SIĘ STRUKTURALNIE PROCESEM ZNISZCZENIA: 1) PRĘTY KRÓTKIE, W KTÓRYCH ZNISZCZENIE NASTĘPUJE WSKUTEK WEWNĘTRZNEJ UTRATY STATECZNOŚCI WŁÓKIEN W KOMPOZYCIE; 2) PRĘTY ŚREDNIEJ DŁUGOŚCI, KTÓRYCH WYTRZYMAŁOŚĆ NALEŻY PROGNOZOWAĆ Z UWZGLĘDNIENIEM WPŁYWU SIŁ POPRZECZNYCH; 3) PRĘTY O DUŻEJ SMUKŁOŚCI, KTÓRYCH WYTRZYMAŁOŚĆ KRYTYCZNĄ MOŻNA WYZNACZAĆ ZMODYFIKOWANYMI METODAMI KLASYCZNYMI.",,79,Stateczność konstrukcji kompozytowych,,183
8,104093,opisProjektuEfekt,"CELEM PRACY BYŁO OPRACOWANIE METODY SYNTETYCZNEJ OCENY STANU WARSTWY WIERZCHNIEJ W WARUNKACH NARAŻEŃ TRIBOLOGICZNYCH. REALIZACJA TEGO CELU WYMAGAŁA PRZYJĘCIA NASTĘPUJĄCYCH ZAŁOŻEŃ BADAWCZYCH: - MATERIAŁ BADANY STANOWIĄ STOPY ŻELAZA I STOPY MIEDZI; - MATERIAŁY TE BADANE BĘDĄ W WARUNKACH TARCIA W OBECNOŚCI ŚRODKA SMARNEGO Z RÓŻNYMI DODATKAMI; - TWORZĄCE SIĘ W PROCESIE TARCIA STRUKTURY TARCIOWE OCENIANE SĄ ZA POMOCĄ PARAMETRÓW TRIBOLOGICZNYCH I ELEKTRYCZNYCH. NA PODSTAWIE PRZYJĘTYCH ZAŁOŻEŃ ZREALIZOWANO BADANIA TRIBOLOGICZNE POSŁUGUJĄC SIĘ MASZYNĄ TARCIOWĄ MT-1 I TRIBOMETREM FALEX, A TAKŻE PRZEPROWADZONO BADANIA CECH FIZYKO-CHEMICZNYCH WARSTWY WIERZCHNIEJ MATERIAŁÓW. W TYCH OSTATNICH BADANIACH POSŁUŻONO SIĘ: SPEKTROFOTOMETRIĄ W PODCZERWIENI (IR-ATR), CHRONOWOLTAMPEROMETRIĄ CYKLICZNĄ (CVC), MIKROSKOPIĄ SKANINGOWĄ (SEM), SKANINGOWĄ MIKROSKOPIĄ TUNELOWĄ (STM) I ELEKTROCHEMICZNĄ SKANINGOWĄ MIKROSKOPIĄ TUNELOWĄ (ESTM). EFEKTEM WYKONANEJ PRACY JEST M.IN. OPRACOWANIE SYNTETYCZNEJ, KOMPLEKSOWEJ METODY OCENY RZECZYWISTEGO STANU WARSTWY WIERZCHNIOWEJ W WARUNKACH NARAŻEŃ TRIBOLOGICZNYCH.",,79,Ocena stanu warstwy wierzchniej par tribologicznych podczas tarcia,,183
9,104094,opisProjektuEfekt,"PRZEPROWADZONO ANALIZĘ ISTNIEJĄCYCH MODELI SPRZĘŻENIA CIERNEGO W TARCIU TOCZNYM ORAZ SFORMUŁOWANO WNIOSKI DOTYCZĄCE POTRZEBY ICH ROZSZERZENIA. W SZCZEGÓLNOŚCI STWIERDZONO ISTOTNĄ POTRZEBĘ UWZGLĘDNIENIA SIŁ BEZWŁADNOŚCI W ODKSZTAŁCANEJ WARSTWIE WIERZCHNIEJ I JEJ ODKSZTAŁCEŃ PLASTYCZNYCH. OPRACOWANO NOWY MODEL SPRZĘŻENIA CIERNEGO W TARCIU TOCZNYM, UWZGLĘDNIAJĄCY ZARÓWNO POŚLIZGI GEOMETRYCZNE, SPRĘŻYSTE ORAZ WYNIKAJĄCE Z ODKSZTAŁCEŃ PLASTYCZNYCH W MIEJSCACH RZECZYWISTEGO STYKU, JAK RÓWNIEŻ POŚLIZGI SPOWODOWANE RÓŻNICĄ TEMPERATURY W POLU STYKU ELEMENTÓW TOCZNYCH. PONADTO UWZGLĘDNIONO SIŁY BEZWŁADNOŚCI WYNIKAJĄCE NIE TYLKO Z ODKSZTAŁCEŃ STYCZNYCH ALE TEŻ POWODOWANE ODKSZTAŁCENIAMI PROMIENIOWYMI WYWOŁUJĄCYMI PRZYSPIESZENIE CORIOLISA. PRZYGOTOWANO DWA STANOWISKA DO BADAŃ DOŚWIADCZALNYCH, ZWERYFIKOWANO JE ORAZ OPRACOWANO PLAN BADAŃ. PRZEPROWADZONO WERYFIKACJĘ DOŚWIADCZALNĄ OPRACOWANEGO WCZEŚNIEJ MODELU. BADANIA PRZEPROWADZONO NA TRZECH STANOWISKACH BADAWCZYCH. (...)",,79,Mechanizm sprzężenia w tarciu tocznym,,183
